Sample	File	Animal	Species	Population	Diet	Tissue	Sex
W396_C_S1	W396_C_S1.counts.tsv	W396	N_lepida	Cameron_Rd	PRFA	C	F
W397_C_S2	W397_C_S2.counts.tsv	W397	N_lepida	Cameron_Rd	RHCA	C	F
W398_C_S3	W398_C_S3.counts.tsv	W398	N_bryanti	Erskine_Creek	RHCA	C	M
W477_C_S8	W477_C_S8.counts.tsv	W477	N_bryanti	Kernville_Canyon	PRFA	C	M
W478_C_S7	W478_C_S7.counts.tsv	W478	N_lepida	Pine_Tree_cyn	RHCA	C	F
W479_C_S4	W479_C_S4.counts.tsv	W479	N_lepida	Pine_Tree_cyn	RHCA	C	M
W480_C_S5	W480_C_S5.counts.tsv	W480	N_lepida	Pine_Tree_cyn	PRFA	C	M
W481_C_S6	W481_C_S6.counts.tsv	W481	N_lepida	Pine_Tree_cyn	PRFA	C	M
W484_C_S13	W484_C_S13.counts.tsv	W484	N_bryanti	Kernville_Canyon	RHCA	C	M
W486_C_S11	W486_C_S11.counts.tsv	W486	N_bryanti	Kernville_Canyon	PRFA	C	M
W489_C_S9	W489_C_S9.counts.tsv	W489	N_lepida	Pine_Tree_cyn	RHCA	C	M
W490_C_S10	W490_C_S10.counts.tsv	W490	N_lepida	Pine_Tree_cyn	PRFA	C	M
W491_C_S14	W491_C_S14.counts.tsv	W491	N_lepida	Pine_Tree_cyn	RHCA	C	M
W492_C_S12	W492_C_S12.counts.tsv	W492	N_lepida	Pine_Tree_cyn	PRFA	C	M
W542_C_S17	W542_C_S17.counts.tsv	W542	N_bryanti	Erskine_Creek	PRFA	C	M
W543_C_S15	W543_C_S15.counts.tsv	W543	N_bryanti	Erskine_Creek	RHCA	C	F
W544_C_S16	W544_C_S16.counts.tsv	W544	N_bryanti	Erskine_Creek	PRFA	C	F
W546_C_S19	W546_C_S19.counts.tsv	W546	N_bryanti	Erskine_Creek	RHCA	C	F
W547_C_S18	W547_C_S18.counts.tsv	W547	N_bryanti	Erskine_Creek	RHCA	C	F
W548_C_S21	W548_C_S21.counts.tsv	W548	N_bryanti	Erskine_Creek	PRFA	C	F
W549_C_S20	W549_C_S20.counts.tsv	W549	N_bryanti	Erskine_Creek	RHCA	C	M
W550_C_S23	W550_C_S23.counts.tsv	W550	N_bryanti	Erskine_Creek	PRFA	C	F
W551_C_S22	W551_C_S22.counts.tsv	W551	N_bryanti	Erskine_Creek	RHCA	C	F
W552_C_S25	W552_C_S25.counts.tsv	W552	N_bryanti	Erskine_Creek	PRFA	C	M
W554_C_S24	W554_C_S24.counts.tsv	W554	N_bryanti	Erskine_Creek	PRFA	C	F
W614_C_S26	W614_C_S26.counts.tsv	W614	N_lepida	Pine_Tree_cyn	RHCA	C	M
W615_C_S28	W615_C_S28.counts.tsv	W615	N_lepida	Pine_Tree_cyn	RHCA	C	F
W616_C_S29	W616_C_S29.counts.tsv	W616	N_lepida	Cameron_Rd	PRFA	C	F
W617_C_S27	W617_C_S27.counts.tsv	W617	N_lepida	Cameron_Rd	PRFA	C	F
