Sample	File	Animal	Species	Population	Diet	Tissue	Sex
W396_FG_S30	W396_FG_S30.counts.tsv	W396	N_lepida	Cameron_Rd	PRFA	FG	F
W397_FG_S35	W397_FG_S35.counts.tsv	W397	N_lepida	Cameron_Rd	RHCA	FG	F
W398_FG_S75	W398_FG_S75.counts.tsv	W398	N_bryanti	Erskine_Creek	RHCA	FG	M
W477_FG_S73	W477_FG_S73.counts.tsv	W477	N_bryanti	Kernville_Canyon	PRFA	FG	M
W478_FG_S80	W478_FG_S80.counts.tsv	W478	N_lepida	Pine_Tree_cyn	RHCA	FG	F
W479_FG_S78	W479_FG_S78.counts.tsv	W479	N_lepida	Pine_Tree_cyn	RHCA	FG	M
W480_FG_S79	W480_FG_S79.counts.tsv	W480	N_lepida	Pine_Tree_cyn	PRFA	FG	M
W481_FG_S31	W481_FG_S31.counts.tsv	W481	N_lepida	Pine_Tree_cyn	PRFA	FG	M
W484_FG_S72	W484_FG_S72.counts.tsv	W484	N_bryanti	Kernville_Canyon	RHCA	FG	M
W486_FG_S83	W486_FG_S83.counts.tsv	W486	N_bryanti	Kernville_Canyon	PRFA	FG	M
W489_FG_S33	W489_FG_S33.counts.tsv	W489	N_lepida	Pine_Tree_cyn	RHCA	FG	M
W490_FG_S43	W490_FG_S43.counts.tsv	W490	N_lepida	Pine_Tree_cyn	PRFA	FG	M
W491_FG_S42	W491_FG_S42.counts.tsv	W491	N_lepida	Pine_Tree_cyn	RHCA	FG	M
W492_FG_S37	W492_FG_S37.counts.tsv	W492	N_lepida	Pine_Tree_cyn	PRFA	FG	M
W542_FG_S32	W542_FG_S32.counts.tsv	W542	N_bryanti	Erskine_Creek	PRFA	FG	M
W543_FG_S74	W543_FG_S74.counts.tsv	W543	N_bryanti	Erskine_Creek	RHCA	FG	F
W544_FG_S87	W544_FG_S87.counts.tsv	W544	N_bryanti	Erskine_Creek	PRFA	FG	F
W546_FG_S38	W546_FG_S38.counts.tsv	W546	N_bryanti	Erskine_Creek	RHCA	FG	F
W547_FG_S41	W547_FG_S41.counts.tsv	W547	N_bryanti	Erskine_Creek	RHCA	FG	F
W548_FG_S40	W548_FG_S40.counts.tsv	W548	N_bryanti	Erskine_Creek	PRFA	FG	F
W549_FG_S77	W549_FG_S77.counts.tsv	W549	N_bryanti	Erskine_Creek	RHCA	FG	M
W550_FG_S39	W550_FG_S39.counts.tsv	W550	N_bryanti	Erskine_Creek	PRFA	FG	F
W551_FG_S76	W551_FG_S76.counts.tsv	W551	N_bryanti	Erskine_Creek	RHCA	FG	F
W552_FG_S71	W552_FG_S71.counts.tsv	W552	N_bryanti	Erskine_Creek	PRFA	FG	M
W554_FG_S70	W554_FG_S70.counts.tsv	W554	N_bryanti	Erskine_Creek	PRFA	FG	F
W614_FG_S82	W614_FG_S82.counts.tsv	W614	N_lepida	Pine_Tree_cyn	RHCA	FG	M
W615_FG_S36	W615_FG_S36.counts.tsv	W615	N_lepida	Pine_Tree_cyn	RHCA	FG	F
W616_FG_S81	W616_FG_S81.counts.tsv	W616	N_lepida	Cameron_Rd	PRFA	FG	F
W617_FG_S34	W617_FG_S34.counts.tsv	W617	N_lepida	Cameron_Rd	PRFA	FG	F
