Sample	File	Animal	Species	Population	Diet	Tissue	Sex
W396_S105_L003	W396_S105_L003.counts.tsv	W396	N_lepida	Cameron_Rd	PRFA	L	F
W397_S104_L003	W397_S104_L003.counts.tsv	W397	N_lepida	Cameron_Rd	RHCA	L	F
W398_S111_L003	W398_S111_L003.counts.tsv	W398	N_bryanti	Erskine_Creek	RHCA	L	M
W477_S98_L003	W477_S98_L003.counts.tsv	W477	N_bryanti	Kernville_Canyon	PRFA	L	M
W478_S109_L003	W478_S109_L003.counts.tsv	W478	N_lepida	Pine_Tree_cyn	RHCA	L	F
W479_S101_L003	W479_S101_L003.counts.tsv	W479	N_lepida	Pine_Tree_cyn	RHCA	L	M
W480_S116_L003	W480_S116_L003.counts.tsv	W480	N_lepida	Pine_Tree_cyn	PRFA	L	M
W481_S110_L003	W481_S110_L003.counts.tsv	W481	N_lepida	Pine_Tree_cyn	PRFA	L	M
W484_S102_L003	W484_S102_L003.counts.tsv	W484	N_bryanti	Kernville_Canyon	RHCA	L	M
W486_S107_L003	W486_S107_L003.counts.tsv	W486	N_bryanti	Kernville_Canyon	PRFA	L	M
W489_S115_L003	W489_S115_L003.counts.tsv	W489	N_lepida	Pine_Tree_cyn	RHCA	L	M
W490_S103_L003	W490_S103_L003.counts.tsv	W490	N_lepida	Pine_Tree_cyn	PRFA	L	M
W491_S100_L003	W491_S100_L003.counts.tsv	W491	N_lepida	Pine_Tree_cyn	RHCA	L	M
W492_S108_L003	W492_S108_L003.counts.tsv	W492	N_lepida	Pine_Tree_cyn	PRFA	L	M
W542_S113_L003	W542_S113_L003.counts.tsv	W542	N_bryanti	Erskine_Creek	PRFA	L	M
W543_S99_L003	W543_S99_L003.counts.tsv	W543	N_bryanti	Erskine_Creek	RHCA	L	F
W544_S112_L003	W544_S112_L003.counts.tsv	W544	N_bryanti	Erskine_Creek	PRFA	L	F
W546_S114_L003	W546_S114_L003.counts.tsv	W546	N_bryanti	Erskine_Creek	RHCA	L	F
W547_S106_L003	W547_S106_L003.counts.tsv	W547	N_bryanti	Erskine_Creek	RHCA	L	F
W548_S120_L003	W548_S120_L003.counts.tsv	W548	N_bryanti	Erskine_Creek	PRFA	L	F
W549_S93_L003	W549_S93_L003.counts.tsv	W549	N_bryanti	Erskine_Creek	RHCA	L	M
W550_S95_L003	W550_S95_L003.counts.tsv	W550	N_bryanti	Erskine_Creek	PRFA	L	F
W551_S117_L003	W551_S117_L003.counts.tsv	W551	N_bryanti	Erskine_Creek	RHCA	L	F
W552_S96_L003	W552_S96_L003.counts.tsv	W552	N_bryanti	Erskine_Creek	PRFA	L	M
W554_S118_L003	W554_S118_L003.counts.tsv	W554	N_bryanti	Erskine_Creek	PRFA	L	F
W614_S119_L003	W614_S119_L003.counts.tsv	W614	N_lepida	Pine_Tree_cyn	RHCA	L	M
W615_S94_L003	W615_S94_L003.counts.tsv	W615	N_lepida	Pine_Tree_cyn	RHCA	L	F
W616_S97_L003	W616_S97_L003.counts.tsv	W616	N_lepida	Cameron_Rd	PRFA	L	F
W617_S121_L003	W617_S121_L003.counts.tsv	W617	N_lepida	Cameron_Rd	PRFA	L	F
