Sample	File	Animal	Species	Population	Diet	Tissue	Sex
W396_SI_S61	W396_SI_S61.counts.tsv	W396	N_lepida	Cameron_Rd	PRFA	SI	F
W397_SI_S49	W397_SI_S49.counts.tsv	W397	N_lepida	Cameron_Rd	RHCA	SI	F
W398_SI_S66	W398_SI_S66.counts.tsv	W398	N_bryanti	Erskine_Creek	RHCA	SI	M
W477_SI_S51	W477_SI_S51.counts.tsv	W477	N_bryanti	Kernville_Canyon	PRFA	SI	M
W478_SI_S84	W478_SI_S84.counts.tsv	W478	N_lepida	Pine_Tree_cyn	RHCA	SI	F
W479_SI_S52	W479_SI_S52.counts.tsv	W479	N_lepida	Pine_Tree_cyn	RHCA	SI	M
W480_SI_S60	W480_SI_S60.counts.tsv	W480	N_lepida	Pine_Tree_cyn	PRFA	SI	M
W481_SI_S57	W481_SI_S57.counts.tsv	W481	N_lepida	Pine_Tree_cyn	PRFA	SI	M
W484_SI_S63	W484_SI_S63.counts.tsv	W484	N_bryanti	Kernville_Canyon	RHCA	SI	M
W486_SI_S86	W486_SI_S86.counts.tsv	W486	N_bryanti	Kernville_Canyon	PRFA	SI	M
W489_SI_S59	W489_SI_S59.counts.tsv	W489	N_lepida	Pine_Tree_cyn	RHCA	SI	M
W490_SI_S67	W490_SI_S67.counts.tsv	W490	N_lepida	Pine_Tree_cyn	PRFA	SI	M
W491_SI_S58	W491_SI_S58.counts.tsv	W491	N_lepida	Pine_Tree_cyn	RHCA	SI	M
W492_SI_S53	W492_SI_S53.counts.tsv	W492	N_lepida	Pine_Tree_cyn	PRFA	SI	M
W542_SI_S69	W542_SI_S69.counts.tsv	W542	N_bryanti	Erskine_Creek	PRFA	SI	M
W543_SI_S55	W543_SI_S55.counts.tsv	W543	N_bryanti	Erskine_Creek	RHCA	SI	F
W544_SI_S62	W544_SI_S62.counts.tsv	W544	N_bryanti	Erskine_Creek	PRFA	SI	F
W546_SI_S47	W546_SI_S47.counts.tsv	W546	N_bryanti	Erskine_Creek	RHCA	SI	F
W547_SI_S48	W547_SI_S48.counts.tsv	W547	N_bryanti	Erskine_Creek	RHCA	SI	F
W548_SI_S44	W548_SI_S44.counts.tsv	W548	N_bryanti	Erskine_Creek	PRFA	SI	F
W549_SI_S65	W549_SI_S65.counts.tsv	W549	N_bryanti	Erskine_Creek	RHCA	SI	M
W550_SI_S50	W550_SI_S50.counts.tsv	W550	N_bryanti	Erskine_Creek	PRFA	SI	F
W551_SI_S54	W551_SI_S54.counts.tsv	W551	N_bryanti	Erskine_Creek	RHCA	SI	F
W552_SI_S64	W552_SI_S64.counts.tsv	W552	N_bryanti	Erskine_Creek	PRFA	SI	M
W554_SI_S45	W554_SI_S45.counts.tsv	W554	N_bryanti	Erskine_Creek	PRFA	SI	F
W614_SI_S68	W614_SI_S68.counts.tsv	W614	N_lepida	Pine_Tree_cyn	RHCA	SI	M
W615_SI_S46	W615_SI_S46.counts.tsv	W615	N_lepida	Pine_Tree_cyn	RHCA	SI	F
W616_SI_S56	W616_SI_S56.counts.tsv	W616	N_lepida	Cameron_Rd	PRFA	SI	F
W617_SI_S85	W617_SI_S85.counts.tsv	W617	N_lepida	Cameron_Rd	PRFA	SI	F
