Name	gene_id
NBRY_0610012G03RIK_0001	0610012G03Rik
NBRY_0610030E20RIK_0001	0610030E20Rik
NBRY_1110002E22RIK_0001	1110002E22Rik
NBRY_1110008L16RIK_0001	1110008L16Rik
NBRY_1110012L19RIK_0001	1110012L19Rik
NBRY_1110032A03RIK_0001	1110032A03Rik
NBRY_1110059E24RIK_0001	1110059E24Rik
NBRY_1190007I07RIK_0001	1190007I07Rik
NBRY_1300017J02RIK_0001	1300017J02Rik
NBRY_1500015O10RIK_0001	1500015O10Rik
NBRY_1600002K03RIK_0001	1600002K03Rik
NBRY_1700001C02RIK_0001	1700001C02Rik
NBRY_1700001P01RIK_0001	1700001P01Rik
NBRY_1700003H04RIK_0001	1700003H04Rik
NBRY_1700003H04RIK_0002	1700003H04Rik
NBRY_1700006A11RIK_0001	1700006A11Rik
NBRY_1700008O03RIK_0001	1700008O03Rik
NBRY_1700009N14RIK_0001	1700009N14Rik
NBRY_1700016K19RIK_0001	1700016K19Rik
NBRY_1700017B05RIK_0001	1700017B05Rik
NBRY_1700018B08RIK_0001	1700018B08Rik
NBRY_1700019D03RIK_0001	1700019D03Rik
NBRY_1700020N01RIK_0001	1700020N01Rik
NBRY_1700021F05RIK_0001	1700021F05Rik
NBRY_1700021F07RIK_0001	1700021F07Rik
NBRY_1700023F06RIK_0001	1700023F06Rik
NBRY_1700024P04RIK_0001	1700024P04Rik
NBRY_1700025G04RIK_0001	1700025G04Rik
NBRY_1700030J22RIK_0001	1700030J22Rik
NBRY_1700030K09RIK_0001	1700030K09Rik
NBRY_1700034I23RIK_0001	1700034I23Rik
NBRY_1700061G19RIK_0001	1700061G19Rik
NBRY_1700067K01RIK_0001	1700067K01Rik
NBRY_1700102P08RIK_0001	1700102P08Rik
NBRY_1700123L14RIK_0001	1700123L14Rik
NBRY_1700123O20RIK_0001	1700123O20Rik
NBRY_1700125H20RIK_0001	1700125H20Rik
NBRY_1810009J06RIK_0001	1810009J06Rik
NBRY_1810030O07RIK_0001	1810030O07Rik
NBRY_1810030O07RIK_0002	1810030O07Rik
NBRY_1810043G02RIK_0001	1810043G02Rik
NBRY_1810046K07RIK_0001	1810046K07Rik
NBRY_1810065E05RIK_0001	1810065E05Rik
NBRY_2010300C02RIK_0001	2010300C02Rik
NBRY_2210010C04RIK_0001	2210010C04Rik
NBRY_2210016L21RIK_0001	2210016L21Rik
NBRY_2300009A05RIK_0001	2300009A05Rik
NBRY_2310009B15RIK_0001	2310009B15Rik
NBRY_2310022A10RIK_0001	2310022A10Rik
NBRY_2310033P09RIK_0001	2310033P09Rik
NBRY_2310039H08RIK_0001	2310039H08Rik
NBRY_2310061N02RIK_0001	2310061N02Rik
NBRY_2410131K14RIK_0001	2410131K14Rik
NBRY_2510009E07RIK_0001	2510009E07Rik
NBRY_2610002M06RIK_0001	2610002M06Rik
NBRY_2610008E11RIK_0001	2610008E11Rik
NBRY_2610044O15RIK8_0001	2610044O15Rik8
NBRY_2610318N02RIK_0001	2610318N02Rik
NBRY_2610528A11RIK_0001	2610528A11Rik
NBRY_2700097O09RIK_0001	2700097O09Rik
NBRY_2810021J22RIK_0001	2810021J22Rik
NBRY_2810459M11RIK_0001	2810459M11Rik
NBRY_2900011O08RIK_0001	2900011O08Rik
NBRY_2900026A02RIK_0001	2900026A02Rik
NBRY_3830403N18RIK_0001	3830403N18Rik
NBRY_3830417A13RIK_0001	3830417A13Rik
NBRY_3830417A13RIK_0002	3830417A13Rik
NBRY_3830417A13RIK_0003	3830417A13Rik
NBRY_3830417A13RIK_0004	3830417A13Rik
NBRY_4833423E24RIK_0001	4833423E24Rik
NBRY_4833439L19RIK_0001	4833439L19Rik
NBRY_4921507P07RIK_0001	4921507P07Rik
NBRY_4921509C19RIK_0001	4921509C19Rik
NBRY_4921509C19RIK_0002	4921509C19Rik
NBRY_4921509C19RIK_0003	4921509C19Rik
NBRY_4921509C19RIK_0004	4921509C19Rik
NBRY_4921509C19RIK_0005	4921509C19Rik
NBRY_4921509C19RIK_0006	4921509C19Rik
NBRY_4921509C19RIK_0007	4921509C19Rik
NBRY_4921509C19RIK_0008	4921509C19Rik
NBRY_4921509C19RIK_0009	4921509C19Rik
NBRY_4921509C19RIK_0010	4921509C19Rik
NBRY_4921509C19RIK_0011	4921509C19Rik
NBRY_4921509C19RIK_0012	4921509C19Rik
NBRY_4921517D22RIK_0001	4921517D22Rik
NBRY_4921536K21RIK_0001	4921536K21Rik
NBRY_4930402K13RIK_0001	4930402K13Rik
NBRY_4930402K13RIK_0002	4930402K13Rik
NBRY_4930402K13RIK_0003	4930402K13Rik
NBRY_4930404N11RIK_0001	4930404N11Rik
NBRY_4930407I10RIK_0001	4930407I10Rik
NBRY_4930432K21RIK_0001	4930432K21Rik
NBRY_4930433I11RIK_0001	4930433I11Rik
NBRY_4930438A08RIK_0001	4930438A08Rik
NBRY_4930444G20RIK_0001	4930444G20Rik
NBRY_4930444G20RIK_0002	4930444G20Rik
NBRY_4930444G20RIK_0003	4930444G20Rik
NBRY_4930444G20RIK_0004	4930444G20Rik
NBRY_4930444G20RIK_0005	4930444G20Rik
NBRY_4930444G20RIK_0006	4930444G20Rik
NBRY_4930444G20RIK_0007	4930444G20Rik
NBRY_4930444G20RIK_0008	4930444G20Rik
NBRY_4930444G20RIK_0009	4930444G20Rik
NBRY_4930444G20RIK_0010	4930444G20Rik
NBRY_4930444G20RIK_0011	4930444G20Rik
NBRY_4930505A04RIK_0001	4930505A04Rik
NBRY_4930516K23RIK_0001	4930516K23Rik
NBRY_4930522L14RIK_0001	4930522L14Rik
NBRY_4930522L14RIK_0002	4930522L14Rik
NBRY_4930523C07RIK_0001	4930523C07Rik
NBRY_4930544D05RIK_0001	4930544D05Rik
NBRY_4930544G11RIK_0001	4930544G11Rik
NBRY_4930550L24RIK_0001	4930550L24Rik
NBRY_4930578I06RIK_0001	4930578I06Rik
NBRY_4931406B18RIK_0001	4931406B18Rik
NBRY_4931406P16RIK_0001	4931406P16Rik
NBRY_4931408C20RIK_0001	4931408C20Rik
NBRY_4931417E11RIK_0001	4931417E11Rik
NBRY_4932411N23RIK_0001	4932411N23Rik
NBRY_4932411N23RIK_0002	4932411N23Rik
NBRY_4933402E13RIK_0001	4933402E13Rik
NBRY_4933405O20RIK_0001	4933405O20Rik
NBRY_4933412E24RIK_0001	4933412E24Rik
NBRY_4933430I17RIK_0001	4933430I17Rik
NBRY_5031439G07RIK_0001	5031439G07Rik
NBRY_5330417C22RIK_0001	5330417C22Rik
NBRY_5730480H06RIK_0001	5730480H06Rik
NBRY_5830411N06RIK_0001	5830411N06Rik
NBRY_6430548M08RIK_0001	6430548M08Rik
NBRY_6430571L13RIK_0001	6430571L13Rik
NBRY_7420426K07RIK_0001	7420426K07Rik
NBRY_8030462N17RIK_0001	8030462N17Rik
NBRY_8030474K03RIK_0001	8030474K03Rik
NBRY_8030474K03RIK_0002	8030474K03Rik
NBRY_9130008F23RIK_0001	9130008F23Rik
NBRY_9130409I23RIK_0001	9130409I23Rik
NBRY_9130409I23RIK_0002	9130409I23Rik
NBRY_9330182L06RIK_0001	9330182L06Rik
NBRY_9430007A20RIK_0001	9430007A20Rik
NBRY_9530053A07RIK_0001	9530053A07Rik
NBRY_9530068E07RIK_0001	9530068E07Rik
NBRY_9830107B12RIK_0001	9830107B12Rik
NBRY_9930012K11RIK_0001	9930012K11Rik
NBRY_9930111J21RIK1_0001	9930111J21Rik1
NBRY_9930111J21RIK1_0002	9930111J21Rik1
NBRY_9930111J21RIK1_0003	9930111J21Rik1
